zone_rank,cluster_id,accident_count,avg_severity,max_severity,center_lat,center_lng,lat_min,lat_max,lng_min,lng_max
81,109,99,1.99,2,30.30602663262626,-97.70773532202021,30.304831,30.30674,-97.709239,-97.706413
82,223,97,2.0,3,30.17952488804124,-97.84158259690722,30.176987,30.182453,-97.847404,-97.836899
83,567,96,2.01,3,30.114820469062497,-97.6950583965625,30.111629,30.118002,-97.695702,-97.693925
84,492,95,2.011,3,30.45040281097892,-97.69598958985675,30.447599,30.45557,-97.697975,-97.69108
85,234,95,1.989,2,30.402498607936646,-97.65784037385546,30.401595,30.404435999999997,-97.66201,-97.657143
86,330,93,2.032,4,30.21034615053763,-97.80352230107528,30.205839,30.214229,-97.806389,-97.79969
87,87,92,1.967,2,30.41409589130435,-97.6536815978261,30.411613,30.418307,-97.658852,-97.650502
88,803,91,1.989,2,30.171046593406594,-97.78652865934065,30.169754,30.172976,-97.787498,-97.785263
89,41,90,1.978,3,30.392264349820543,-97.70809819712667,30.39101,30.392422,-97.708298,-97.705028
90,405,87,2.0,2,30.23021534632184,-97.75935872149425,30.22781,30.232876,-97.76047,-97.756294
91,162,85,1.988,2,30.40535275794992,-97.66496492088774,30.404652,30.40581,-97.6688,-97.663844
92,279,85,1.929,2,30.251367623529415,-97.59533052941177,30.250795,30.251522,-97.596314,-97.592293
93,158,84,2.012,3,30.23043379026314,-97.87944615292693,30.228333000000006,30.231444,-97.883278,-97.877177
94,47,84,1.976,2,30.19180457142857,-97.69880521428571,30.189891999999997,30.192652,-97.701286,-97.697613
95,396,84,1.976,2,30.234029178571426,-97.76460348809525,30.232016,30.23671,-97.765992,-97.762038
96,74,83,2.096,4,30.23445446987952,-97.91067468674699,30.233997,30.235182,-97.914484,-97.907548
97,144,82,1.976,2,30.49774051749243,-97.77685752337207,30.496115000000003,30.498918,-97.7817,-97.77503
98,66,80,2.05,4,30.217863935554256,-97.68343134521687,30.215529,30.21944,-97.68528,-97.68278
99,77,80,1.988,3,30.2992014625,-97.68617466250001,30.29582000000001,30.303496999999997,-97.688057,-97.682129
100,469,79,1.987,3,30.228149236962025,-97.62037356721518,30.224075,30.229486,-97.622665,-97.617287
101,130,78,1.974,2,30.307844652387192,-97.67032493511435,30.304473,30.309156,-97.674393,-97.668503
102,190,77,2.0,3,30.27530540189501,-97.66815208713452,30.272041,30.277571,-97.669357,-97.667412
103,112,76,2.013,3,30.399035736842105,-97.66871089473683,30.398842,30.399171999999997,-97.669548,-97.666432
104,289,74,1.986,2,30.338692905405406,-97.69265874324324,30.337313,30.340454,-97.694096,-97.692322
105,629,73,2.041,4,30.15081105479452,-97.69668875342465,30.149391,30.152928999999997,-97.697259,-97.69622
106,316,73,2.0,2,30.22729542465753,-97.72753708219177,30.225531,30.227937,-97.728973,-97.725922
107,84,72,2.0,2,30.192799032421597,-97.92458239914116,30.191542,30.195675,-97.925217,-97.92115
108,465,72,2.0,2,30.408750060014672,-97.69771146819939,30.40674000000001,30.412558,-97.701511,-97.696861
109,276,72,1.986,2,30.488145187469375,-97.77141543869156,30.48595,30.491144,-97.772506,-97.76963
110,387,70,1.986,3,30.330871485714287,-97.62407625714286,30.32965,30.331568,-97.628448,-97.623093
111,43,69,2.058,4,30.09234110144928,-97.69379757971014,30.088814000000006,30.096264,-97.694487,-97.693003
112,274,69,2.014,3,30.421835579710145,-97.8450555652174,30.420133,30.42200200000001,-97.845669,-97.845009
113,100,69,1.986,2,30.314364623188407,-97.6922676231884,30.313247,30.31637000000001,-97.694741,-97.689522
114,175,68,2.029,4,30.275432280904244,-97.9141484852643,30.273888,30.275681,-97.914368,-97.913322
115,503,68,2.015,3,30.298550838235293,-97.64323636764706,30.29723,30.301153000000006,-97.646355,-97.640137
116,302,68,1.971,2,30.234990779411767,-97.72929754411766,30.2337,30.235972,-97.731842,-97.727188
117,18,67,2.0,2,30.187198805970148,-97.74594802985075,30.18235,30.191389,-97.749641,-97.743324
118,342,67,1.955,2,30.159077860230198,-97.77668396801641,30.157669,30.160458,-97.779808,-97.775854
119,79,66,1.985,2,30.225865181818182,-97.82276742878788,30.224711,30.228163,-97.823593,-97.8212893
120,165,64,2.031,4,30.376036745640878,-97.63170069672191,30.375615999999997,30.376140000000003,-97.631812,-97.631302
121,239,64,2.016,3,30.22023696875,-97.773593484375,30.217874,30.221975,-97.778281,-97.77234
122,123,64,2.0,2,30.371369359375,-97.75691714421875,30.369467,30.371629,-97.757425,-97.753656
123,20,62,2.032,4,30.266899758064515,-97.62551088709678,30.265669,30.268752000000006,-97.626752,-97.624443
124,94,62,2.016,4,30.19832717741936,-97.68411166129033,30.197935,30.199856,-97.68557,-97.68375
125,45,62,1.984,2,30.20758111781377,-97.86146605001173,30.203201,30.209101,-97.864456,-97.860039
126,113,62,1.984,2,30.261731338709676,-97.67394167741935,30.258222999999997,30.267015,-97.676094,-97.670578
127,244,61,2.0,3,30.262246819672132,-97.88879501639344,30.261548,30.263984000000004,-97.890125,-97.885803
128,214,61,1.984,2,30.4007635447541,-97.74892491983607,30.400653,30.401840000000004,-97.751083,-97.748408
129,399,61,1.984,2,30.229161459016392,-97.88807204918034,30.227628000000006,30.229368,-97.889791,-97.885141
130,30,60,2.033,3,30.275928807556465,-97.60000907882053,30.275518,30.276976,-97.601315,-97.599224
131,63,60,2.017,3,30.1938888,-97.74478961666667,30.192415000000004,30.195596999999996,-97.7472,-97.743088
132,1,60,1.983,2,30.32966705,-97.69573723333333,30.328123,30.331932,-97.700401,-97.692497
133,269,59,2.017,3,30.44161673305085,-97.74851895813559,30.440289,30.442701,-97.750587,-97.74614453
134,137,59,2.0,2,30.203600997370206,-97.8370744535746,30.200844,30.207014,-97.838807,-97.833839
135,184,59,2.0,2,30.191124966101693,-97.73199284745763,30.190633,30.19179,-97.735733,-97.731106
136,10,58,2.052,3,30.14417790258977,-97.69672629357935,30.142526,30.145592,-97.69681,-97.696631
137,4,58,2.0,3,30.283786208975833,-97.82427252953745,30.283002000000003,30.28386712059839,-97.825793,-97.824121
138,505,58,2.0,2,30.217784913793103,-97.7671543275862,30.216690000000003,30.218916,-97.767876,-97.766452
139,512,58,2.0,2,30.39389947978934,-97.65358115809592,30.393431,30.394799,-97.655617,-97.65289
140,763,58,2.0,3,30.33443293103448,-97.60746070689656,30.332668,30.335264,-97.609009,-97.606651
141,121,57,2.0,2,30.449652473684214,-97.83012231578947,30.44944000000001,30.451072999999997,-97.830413,-97.829414
142,677,57,2.0,2,30.343365210526315,-97.61422947368422,30.342341,30.345428,-97.616425,-97.613053
143,288,57,1.965,2,30.38985449122807,-97.70230098245614,30.38689,30.393276,-97.703613,-97.698624
144,117,56,2.018,3,30.434867696428572,-97.73247575,30.434221,30.43595,-97.73394,-97.73164
145,257,56,2.018,3,30.140324017857147,-97.66447719642858,30.13945,30.14065200000001,-97.665192,-97.662649
146,222,56,2.0,4,30.260087125000002,-97.90740691071429,30.259694,30.260293,-97.909591,-97.905684
147,390,55,2.018,3,30.28822489090909,-97.57614069090909,30.287965999999997,30.289221,-97.578949,-97.57424
148,106,55,2.0,2,30.39889432987557,-97.73918126731398,30.398851,30.399055,-97.739311,-97.739044
149,431,54,2.093,4,30.32918801851852,-98.02024877777778,30.327869,30.329592,-98.021202,-98.01767
150,287,54,2.056,4,30.247109962962963,-97.88846348148148,30.246658,30.247537,-97.888955,-97.887568
151,12,54,2.0,2,30.20061961111111,-97.87815157407407,30.200413,30.20135100000001,-97.880997,-97.875366
152,295,54,2.0,2,30.323947129629634,-97.65843381481481,30.323542,30.324894,-97.658615,-97.657357
153,426,54,2.0,2,30.29329724074074,-97.73441307407408,30.289211,30.298622,-97.736924,-97.731506
154,270,53,2.019,3,30.301047264150945,-97.70059188679245,30.295683,30.303286,-97.701867,-97.699799
155,209,52,2.019,4,30.38968738461538,-97.88230232692308,30.3881,30.390074,-97.882868,-97.880646
156,309,52,2.019,3,30.381387115384616,-97.7153288653846,30.379347,30.383915,-97.716494,-97.713332
157,154,52,1.981,2,30.206709195384615,-97.74058140538462,30.204449,30.207541,-97.741955,-97.740051
158,266,51,2.02,3,30.158342509803926,-97.83331639215687,30.156109000000004,30.161182,-97.834953,-97.832657
159,306,51,2.0,2,30.475092833725494,-97.79425622980392,30.474214,30.47535539,-97.796494,-97.793655
160,761,51,2.0,2,30.26291674509804,-97.62157598039217,30.262569,30.264693,-97.623503,-97.621223
161,14,51,1.98,2,30.16343104588235,-97.72654855843136,30.162605,30.164578999999996,-97.730894,-97.724466
162,216,50,2.0,2,30.185982439999997,-97.81620021999998,30.18483,30.187851,-97.817009,-97.813698
163,246,49,2.0,2,30.292593902952394,-97.78332076699118,30.291363,30.29705,-97.783821,-97.78232
164,317,49,2.0,2,30.453406244897963,-97.68176512244898,30.453239,30.45458,-97.684036,-97.681458
165,368,48,2.0,3,30.4435548125,-97.70775927083332,30.443455,30.443568,-97.707771,-97.707359
166,373,48,2.0,3,30.172456145833333,-97.72207716666668,30.172144,30.172498,-97.722183,-97.721748
167,381,48,2.0,3,30.377842833333332,-97.71123031249999,30.37557,30.379309000000006,-97.713154,-97.709549
168,451,48,1.958,2,30.167917125000002,-97.73765029166667,30.165934000000004,30.169694,-97.739372,-97.735191
169,841,47,2.191,3,30.434237000000003,-97.67026431914893,30.433138,30.436913,-97.671706,-97.669675
170,24,47,2.0,2,30.4659854982261,-97.80389271966104,30.46545200000001,30.466955,-97.805496,-97.802109
171,407,47,2.0,2,30.201453297872337,-97.70951882978723,30.200335,30.202060999999997,-97.710274,-97.708163
172,579,47,2.0,2,30.183353489361703,-97.78181091489361,30.18238,30.18427800000001,-97.782402,-97.78034
173,425,46,2.109,4,30.2219385,-97.9559720652174,30.22193,30.222224,-97.956001,-97.955506
174,362,46,2.087,4,30.14525185643354,-97.6732981147838,30.143662,30.145872831200855,-97.673454,-97.671477
175,182,46,2.043,3,30.320258717391308,-98.0070477826087,30.319506,30.320326,-98.00773,-98.006836
176,495,46,2.043,4,30.254416210652174,-97.86557602847826,30.253095,30.254882,-97.866174,-97.86384
177,603,46,2.0,2,30.398470282608695,-97.70437476086956,30.396945,30.399067,-97.705393,-97.70359
178,883,46,2.0,2,30.141166869565218,-97.84686136956522,30.140337,30.142033,-97.847542,-97.846024
179,331,46,1.978,3,30.459305260869566,-97.69888263043478,30.456095,30.460341999999997,-97.699804,-97.697759
180,61,45,2.0,2,30.454283666666665,-97.77288971111112,30.453196999999996,30.456387,-97.776421,-97.766113
181,217,45,1.978,2,30.240094039063024,-97.83156136529081,30.239815000000004,30.240569,-97.834394,-97.828433
182,441,45,1.978,2,30.183303644444443,-97.76903428888889,30.18078,30.18494500000001,-97.769791,-97.768509
183,508,45,1.956,2,30.399281155555556,-97.65488646666667,30.396178999999997,30.400423,-97.655497,-97.654091
184,327,44,2.023,3,30.388173606714943,-97.75971089450435,30.388013,30.38857800000001,-97.761009,-97.756977
185,557,44,2.0,2,30.429770181818185,-97.72371293181818,30.4279,30.430969,-97.72612,-97.721153
186,145,43,2.0,3,30.428453604651164,-97.84278702325581,30.426712,30.42885,-97.843391,-97.842651
187,365,43,2.0,2,30.202570325581398,-97.75307186046511,30.2001,30.203537,-97.754414,-97.750318
188,432,43,2.0,2,30.2191253255814,-97.8939081627907,30.217916,30.222008,-97.894457,-97.892616
189,639,43,2.0,2,30.39086262790698,-97.71427169767442,30.389906,30.392826,-97.715952,-97.712863
190,320,43,1.977,3,30.081320779316606,-97.6929983302699,30.080151,30.083776,-97.696747,-97.690529
191,446,43,1.977,2,30.305093,-97.6808948604651,30.304073,30.306472999999997,-97.682358,-97.67907
192,282,42,2.024,3,30.30522347619048,-97.82529185714286,30.304126,30.306192,-97.82598,-97.825027
193,226,42,2.0,2,30.195228428571426,-97.84235933333333,30.193685,30.195381,-97.84344,-97.842217
194,461,42,2.0,2,30.183755880952383,-97.75501685714286,30.182666,30.185168,-97.756973,-97.753471
195,605,42,2.0,2,30.38084987936892,-97.65266648986471,30.378475,30.382207,-97.656088,-97.651373
196,126,42,1.976,3,30.2769294047619,-97.81819173809524,30.275529,30.278291999999997,-97.820297,-97.815811
197,416,42,1.976,2,30.305917452380953,-97.6185218095238,30.302858,30.307748,-97.620522,-97.617338
198,108,41,2.024,3,30.300447,-97.69076190243902,30.299217,30.303041,-97.694073,-97.689354
199,128,41,2.0,2,30.40059663414634,-97.70300865853659,30.400581,30.400654,-97.703125,-97.702972
200,219,41,2.0,2,30.318057951219515,-97.70283353658536,30.316904,30.319147,-97.704102,-97.702209
201,363,41,2.0,2,30.281267146341467,-97.67781224390244,30.278095,30.283661,-97.68177,-97.673218
202,388,41,1.976,2,30.187821121951217,-97.76316924390244,30.187585,30.188398,-97.765234,-97.762173
203,440,41,1.951,2,30.272194073170734,-97.63319995121951,30.271246,30.275307,-97.635961,-97.631631
204,67,40,2.0,2,30.1422364,-97.72919225,30.141548,30.142591,-97.72934,-97.7277
205,176,40,2.0,2,30.297991500000002,-97.76713275,30.295429,30.301279,-97.768761,-97.764389
206,233,40,2.0,2,30.269092824999994,-97.66986725000001,30.268339,30.270517,-97.670853,-97.668972
207,285,40,2.0,3,30.388549900000005,-97.710506775,30.38707,30.388773,-97.711166,-97.710362
208,307,40,2.0,2,30.460639800000003,-97.69478695000001,30.458764,30.461171000000004,-97.695162,-97.69414
209,547,40,2.0,3,30.213007299999997,-97.966896375,30.212231,30.215824,-97.967537,-97.964592
210,315,40,1.975,2,30.411807175,-97.7227876,30.411512,30.41273300000001,-97.724498,-97.721419
211,504,39,2.103,4,30.23993081185711,-97.81709956335419,30.238105,30.241559,-97.82038,-97.813236
212,236,39,2.0,3,30.186470666666665,-97.75899558974359,30.185938,30.187042,-97.760445,-97.75885
213,339,39,2.0,2,30.174193416941772,-97.88755188810958,30.172436,30.176291,-97.890321,-97.885304
214,609,39,2.0,2,30.450359205128205,-97.78525594871795,30.449721000000004,30.451138,-97.78707,-97.782952
215,343,39,1.974,2,30.367169846153846,-97.68529874358974,30.366737,30.368561,-97.687851,-97.684431
216,208,38,2.0,2,30.293559815789475,-97.67798894736842,30.291321000000003,30.295372,-97.679825,-97.677624
217,477,38,2.0,2,30.27866463157895,-97.68893157894736,30.278060999999997,30.27912700000001,-97.692757,-97.687033
218,521,38,2.0,2,30.365098868421054,-97.7503857894737,30.363609000000004,30.366379,-97.751303,-97.749329
219,291,38,1.974,2,30.38985789473684,-97.88999084210526,30.388918,30.390711,-97.891289,-97.888817
220,135,37,2.216,4,30.24982410810811,-97.89410316216215,30.248454,30.251631,-97.897865,-97.891248
221,312,37,2.0,2,30.409497117113062,-97.64845929379952,30.408432,30.4105,-97.649595,-97.646484
222,125,37,1.973,2,30.403249405405404,-97.70008967567568,30.403044,30.404043,-97.700391,-97.698749
223,151,37,1.973,2,30.20989943243243,-97.7260921081081,30.209266999999997,30.210478,-97.728485,-97.724373
224,541,37,1.973,3,30.22337881081081,-97.95299967567567,30.221239,30.224003000000003,-97.953351,-97.952271
225,588,37,1.946,2,30.21023856756757,-97.6676098918919,30.208673,30.211777,-97.67052,-97.663673
226,173,36,2.028,3,30.209941611111113,-97.68326258333335,30.209141,30.210963,-97.683442,-97.683166
227,263,36,2.0,2,30.199334029444444,-97.73484526222222,30.19618,30.20051,-97.736252,-97.733696
228,630,36,2.0,2,30.176507833333332,-97.83462555555555,30.175077,30.176740999999996,-97.83524,-97.833024
229,694,36,2.0,2,30.272007,-97.70943038888889,30.270981,30.273199,-97.71129,-97.707962
230,280,36,1.972,2,30.18377405555556,-97.79274644444445,30.182821,30.184314,-97.793488,-97.792325
231,590,36,1.972,2,30.303874611111112,-97.70401616666668,30.302461,30.304236,-97.704987,-97.703726
232,171,35,2.0,2,30.23515694285715,-97.71461194285715,30.233926,30.235248,-97.714772,-97.712654
233,395,35,2.0,2,30.327519714285714,-97.96431937142857,30.32749,30.327555,-97.96434,-97.964302
234,258,35,1.943,2,30.32256194285714,-97.63022268571429,30.32191,30.324071999999997,-97.630638,-97.629288
235,86,34,2.0,2,30.23801347058824,-97.73226382352941,30.23756,30.239003000000004,-97.733544,-97.730231
236,92,34,2.0,2,30.233139176470587,-97.91948561764706,30.232796,30.23341,-97.921333,-97.917999
237,177,34,2.0,2,30.39593888235294,-97.91394635294118,30.395439,30.397135,-97.914948,-97.912743
238,336,34,2.0,2,30.402279588235295,-97.67004523529413,30.402278999999997,30.402281,-97.670052,-97.670029
239,397,34,2.0,2,30.219060953235292,-97.71857236294119,30.218511,30.21909,-97.718636,-97.717419
